,gameid,epochTime,roundNum,sender,contents,raw_lengths,z_scores
1338,3842-59433277-9f89-4c62-912e-6a1736577c31,1502377101103,23,演说者,玩完你就得等他们发工资，然后再来玩儿,54,5.03872661638
1373,3842-59433277-9f89-4c62-912e-6a1736577c31,1502377574075,39,演说者,橙色，不是最亮的黄，也不是偏土黄色,51,4.69617792619
1448,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac,1502407696982,32,演说者,最粉的红色，不鲜艳，也没那么红,45,4.01108054581
1620,8976-a41db654-9387-4361-aff5-ff68d9291ae9,1502429637157,1,倾听者,你好～～～～～～～～～～～～～,45,4.01108054581
1646,8976-a41db654-9387-4361-aff5-ff68d9291ae9,1502430253782,8,倾听者,上个目标是蓝色，为什么说了绿色？,48,4.353629236
1678,8976-a41db654-9387-4361-aff5-ff68d9291ae9,1502430897959,25,倾听者,诶，你在做什么？目标颜不是绿色，是红色,57,5.38127530657
1852,2275-84bdaee9-3981-4598-bae8-51c437493402,1502617625724,0,演说者,快1个小时了!还没有配对。之前的说明说的是15分钟配对不成就自动退出且accept啊,106,10.9762372463
2077,8805-5f3bc59e-a50f-4bb9-9d89-446cea4dba8a,1502818859305,23,演说者,红 绿色 紫色 灰色 深绿色 蓝色 绿色灰色 亮粉色 黄色 浅褐色 橙色,88,8.92094510519
2182,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502842437485,17,倾听者,其实你可以直接说出要选的颜色嘻嘻,48,4.353629236
2219,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502842636203,21,演说者,這個ikea家具會看到的顏色 是黃黃的,47,4.23944633927
2272,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843036850,35,演说者,好 所以 我說螢光 就是你想像中的另一種 哈哈哈,64,6.18055558368
2318,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843388251,43,倾听者,普通紫是我们刚刚很前面那到题选的,48,4.353629236
2341,8362-765c8be0-1e26-45e2-a620-0d4337084ece,1502843623557,50,倾听者,好好吃饭 我是马来西亚人 很高兴和你合作 ,57,5.38127530657
2472,5427-0b6cdb6c-56ea-486b-8673-ade0f9309d47,1502892079977,0,演说者,演说者: 草地 不深也不浅 演说者: ？,48,4.353629236
2608,2466-8534cbb0-851f-4a9d-a907-ee8890aa54e7,1502914055952,1,演说者,请尽我所能发送你的颜色名称，你只是匹配所有这些颜色。,78,7.77911613789
3003,8888-7cab5c35-7c08-4f22-9ab7-c942e59cff28,1503034547541,0,演说者,我是演说者，一直等待，但没有倾听者连接。,60,5.72382399676
3004,8888-7cab5c35-7c08-4f22-9ab7-c942e59cff28,1503035149926,0,演说者,这个游戏已经过期了，我从晚上中部时间10:36pm 一直等待另一个人连接来玩这个游戏，但是一直没人来连接。游戏规则说我的HIT会自动批准，还会用金钱补偿我的等待。,221,24.1072703702
3031,9736-4fa6a53a-dd64-4764-9644-4346ba0cdef5,1503099764632,10,演说者,依照你剛剛選的「紫色」...這就是那個紫色,57,5.38127530657
3032,9736-4fa6a53a-dd64-4764-9644-4346ba0cdef5,1503099778687,10,演说者,我會說 桃紅，但我依照你對紫色的定義,52,4.81036082292
3561,9542-a415f736-f397-4b9d-967d-d337195081f4,1503572546748,0,演说者,Nǐ shì yǎnshuō zhě. Sòng xùnxí ràng qīngtīng zhě quèdìng mùbiāo yánsè.,88,8.92094510519
3701,0740-53a2d949-8a2f-48ca-a4d6-f80f8c3c3665,1503945521027,22,演说者,比较中间的紫？ 不太亮，颜色较浅,46,4.12526344254
3716,0740-53a2d949-8a2f-48ca-a4d6-f80f8c3c3665,1503945778143,36,演说者,不接近绿，也不接近紫，最接近灰？ 如果还不确定可以在问我细节,88,8.92094510519
3926,7465-655f24f2-9a4a-4496-bb44-627876bc6e66,1504050893474,0,演说者,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,57,5.38127530657
4212,3264-a6cb1ac5-8861-4de5-a08c-103ecd70a22a,1504110970648,2,倾听者,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,57,5.38127530657
5163,4263-f2b201a0-3810-442b-a36d-5bc51b2f046d,1504672585929,0,演说者,It's really wasting my time. You guys should improve your survey.,65,6.2947384804
5170,3057-34e1f5bf-2e0c-4136-9d16-b9813a54f1a7,1504673954875,1,演说者,这是彩色游戏。 我给你发一些你搜索这种颜色的颜色名称。 好。,86,8.69257931173
5486,6511-7f013cf5-802d-42f5-907f-f55314675b82,1504776720022,19,演说者,更像绿色混合棕色，不蓝色，不橙色,48,4.353629236
6297,1294-1b1c103a-3235-4ea5-93e1-9ca2803e82cc,1505352201748,3,倾听者,可能我们荧幕颜色不太一样。。。,45,4.01108054581
