Value,Condition,Language,Message
0,further/split,Chinese,草色
0,further/split,Chinese,深色
0,closer/close,Chinese,浪漫的颜色
0,closer/close,Chinese,深色
0,further/split,Chinese,深色的夕阳
0,closer/close,Chinese,发芽的草色
0,equal/far,Chinese,血色
0,further/split,Chinese,深色
0,further/split,Chinese,快速键入
0,further/split,Chinese,深色
0,equal/far,Chinese,大海
0,further/split,Chinese,公主色
0,closer/close,Chinese,烂漫
0,equal/far,Chinese,青草
0,closer/close,Chinese,同上
0,further/split,Chinese,浪漫
0,further/split,Chinese,亮色
0,further/split,Chinese,深色
0,equal/far,Chinese,深色
0,further/split,Chinese,亮色
0,closer/close,Chinese,血色
0,equal/far,Chinese,深色
0,closer/close,Chinese,?
0,closer/close,Chinese,深色
0,further/split,Chinese,深色
0,closer/close,Chinese,烂漫
0,closer/close,Chinese,淡色
0,equal/far,Chinese,青草
0,equal/far,Chinese,中色
0,equal/far,Chinese,难看的颜色
0,equal/far,Chinese,浪漫
0,equal/far,Chinese,难看
0,further/split,Chinese,中色
0,closer/close,Chinese,中色
0,closer/close,Chinese,难看色
0,equal/far,Chinese,青草
0,equal/far,Chinese,?
0,equal/far,Chinese,深色
0,further/split,Chinese,烂漫
0,equal/far,Chinese,难看
0,equal/far,Chinese,浪漫
0,closer/close,Chinese,天的色
0,closer/close,Chinese,嫩草
0,further/split,Chinese,天的色
0,further/split,Chinese,深色
0,closer/close,Chinese,深色
0,closer/close,Chinese,深色
0,further/split,Chinese,深色
0,equal/far,Chinese,难看
0,equal/far,Chinese,慢行交通灯的颜色
0,equal/far,Chinese,荷兰足球队最常穿的颜色
0,further/split,Chinese,美国国旗上的一种颜色
0,closer/close,Chinese,颜色最亮的一个
1,closer/close,Chinese,不是紫色不是浅灰
1,equal/far,Chinese,不是深蓝不是浅蓝
0,equal/far,Chinese,灰色
0,closer/close,Chinese,最亮的绿色
0,further/split,Chinese,紫色
0,equal/far,Chinese,蓝色
0,equal/far,Chinese,蓝灰色吗？
0,equal/far,Chinese,天蓝色
0,further/split,Chinese,紫色
0,further/split,Chinese,深绿色
0,further/split,Chinese,草的颜色？
0,further/split,Chinese,是的
0,equal/far,Chinese,紫色
0,equal/far,Chinese,是粉色吗？
0,equal/far,Chinese,是的
0,further/split,Chinese,土黄色
1,equal/far,Chinese,不是蓝色不是粉色
0,equal/far,Chinese,蓝色
0,equal/far,Chinese,灰色
0,closer/close,Chinese,灰色。
0,closer/close,Chinese,最亮的绿色
0,closer/close,Chinese,紫色
0,equal/far,Chinese,灰色
0,equal/far,Chinese,紫色
1,closer/close,Chinese,不是最亮的绿色。第二亮的绿色
0,further/split,Chinese,颜色较深的绿色
0,further/split,Chinese,偏黄色？
1,further/split,Chinese,偏绿。不偏黄
0,further/split,Chinese,偏紫色
0,further/split,Chinese,蓝色？
1,further/split,Chinese,不是蓝色
0,further/split,Chinese,黄色？
1,further/split,Chinese,不是
0,further/split,Chinese,蓝色
0,further/split,Chinese,偏灰
0,further/split,Chinese,偏绿色？
1,further/split,Chinese,不偏绿
0,further/split,Chinese,比较暗的蓝色
0,closer/close,Chinese,亮度居中的绿色
0,further/split,Chinese,绿色
0,closer/close,Chinese,亮度居中的蓝色
0,closer/close,Chinese,偏灰色？
1,closer/close,Chinese,不是
0,further/split,Chinese,最亮的绿色
1,closer/close,Chinese,偏暗的蓝色， 不是紫色
0,closer/close,Chinese,深蓝色？
1,closer/close,Chinese,不是
0,closer/close,Chinese,浅蓝
1,closer/close,Chinese,深绿， 不偏黄
0,closer/close,Chinese,最亮的紫色
0,equal/far,Chinese,蓝色
1,further/split,Chinese,不是红色，不是亮绿色
0,further/split,Chinese,草绿色，偏亮
0,further/split,Chinese,绿色偏黄
0,further/split,Chinese,黄色？
0,further/split,Chinese,是的
0,closer/close,Chinese,浅蓝色
0,further/split,Chinese,灰色
0,equal/far,Chinese,紫色
0,equal/far,Chinese,紫色
0,equal/far,Chinese,绿色
0,equal/far,Chinese,草绿色？
0,equal/far,Chinese,是的
0,closer/close,Chinese,最亮的粉红
0,further/split,Chinese,粉红色，偏亮
0,equal/far,Chinese,绿色
1,equal/far,Chinese,灰色，不是蓝色，不是紫色
0,closer/close,Chinese,绿色偏淡蓝色
0,closer/close,Chinese,偏黄色？
1,closer/close,Chinese,不偏黄
0,further/split,Chinese,深绿色
0,closer/close,Chinese,绿色偏亮
0,further/split,Chinese,青草的颜色但较浅
0,closer/close,Chinese,我这边有三个都比较深的颜色
0,closer/close,Chinese,黑色？
0,closer/close,Chinese,要下雨时通常天空会？
0,closer/close,Chinese,深灰色?
0,closer/close,Chinese,再淡点？
0,further/split,Chinese,青草的颜色
1,further/split,Chinese,我这边有两个绿色，是不是更亮一点的那个?
0,further/split,Chinese,对
0,equal/far,Chinese,最亮的
1,closer/close,Chinese,较不同的
0,further/split,Chinese,最亮的
0,further/split,Chinese,比较接近女生的颜色
0,further/split,Chinese,绿色？
1,further/split,Chinese,不是
0,further/split,Chinese,另外两个都很像灰色
0,further/split,Chinese,是棕灰色？
0,further/split,Chinese,比较粉的
0,equal/far,Chinese,粉红和？
0,equal/far,Chinese,紫色
1,further/split,Chinese,不亮的
0,equal/far,Chinese,粉紫
0,equal/far,Chinese,黄
0,equal/far,Chinese,粉色
0,closer/close,Chinese,比较接近大地的
1,further/split,Chinese,不是亮的粉
0,closer/close,Chinese,偏蓝的绿
0,equal/far,Chinese,深蓝
0,equal/far,Chinese,大地
0,further/split,Chinese,亮粉
0,closer/close,Chinese,比较深的紫
1,closer/close,Chinese,不是偏粉的紫 不亮
0,further/split,Chinese,亮粉
0,closer/close,Chinese,灰色
1,closer/close,Chinese,不偏蓝
0,closer/close,Chinese,最沉的绿
1,further/split,Chinese,不偏粉的紫
1,closer/close,Chinese,绿色 不太棕
0,closer/close,Chinese,比较灰
0,equal/far,Chinese,灰色
0,equal/far,Chinese,亮粉
0,equal/far,Chinese,黄色
0,equal/far,Chinese,大地
0,further/split,Chinese,灰色
0,further/split,Chinese,最亮的
0,equal/far,Chinese,最亮的绿
0,further/split,Chinese,粉色
0,equal/far,Chinese,蓝色
0,closer/close,Chinese,三个中 排行第二亮的
0,equal/far,Chinese,绿色
0,further/split,Chinese,橙色 很橙的
0,equal/far,Chinese,紫色
0,closer/close,Chinese,浅粉色
0,further/split,Chinese,比较暗淡的绿
0,closer/close,Chinese,偏紫色 
0,closer/close,Chinese,偏粉红色
0,closer/close,Chinese,最普通彩盘中的亮青
0,further/split,Chinese,蓝色
1,closer/close,Chinese,不是最亮的 剩下两个中偏淡的
0,closer/close,Chinese,绿色
0,equal/far,Chinese,偏绿
1,closer/close,Chinese,不是最亮的 剩下两个中不偏淡的
0,further/split,Chinese,绿色
0,further/split,Chinese,亮蓝色
0,equal/far,Chinese,请问第一轮目标颜色是什么？
0,closer/close,Chinese,你好
0,closer/close,Chinese,你好
0,closer/close,Chinese,浅绿色
0,equal/far,Chinese,绿色
0,equal/far,Chinese,茄子
0,closer/close,Chinese,草
0,equal/far,Chinese,草的颜色
0,closer/close,Chinese,色泽鲜艳
0,further/split,Chinese,忍者龟
0,equal/far,Chinese,轻茄子
1,closer/close,Chinese,绿色但不太绿
1,further/split,Chinese,绿色但不太绿
0,further/split,Chinese,非常明亮，引起注意
0,closer/close,Chinese,明亮的紫色
0,closer/close,Chinese,老绿
0,equal/far,Chinese,灰蓝色
0,further/split,Chinese,浅绿色
0,further/split,Chinese,浅橙色
0,closer/close,Chinese,绿色
0,equal/far,Chinese,浅绿色灰色
0,equal/far,Chinese,紫色
0,further/split,Chinese,浅灰色
0,closer/close,Chinese,浅紫色
0,closer/close,Chinese,蓝色
0,further/split,Chinese,你好
0,further/split,Chinese,你好
0,further/split,Chinese,准备好了吗？
0,further/split,Chinese,好了
0,further/split,Chinese,草的颜色
1,equal/far,Chinese,这颜色不接近天，也不接近草
0,further/split,Chinese,接近草的颜色，但比较深
0,closer/close,Chinese,这有点难
1,closer/close,Chinese,颜色不接近草
1,closer/close,Chinese,颜色不接近天空
0,equal/far,Chinese,草的颜色
0,further/split,Chinese,我们通常叫什么外线?
0,further/split,Chinese,外线的颜色
0,closer/close,Chinese,比较深的外线颜色
0,further/split,Chinese,外线颜色
0,further/split,Chinese,比较光的外线颜色
0,further/split,Chinese,亮一点的草的颜色
1,equal/far,Chinese,不是草也不是太阳的颜色
1,equal/far,Chinese,不是天空也不是外线的颜色
0,equal/far,Chinese,太阳的颜色
0,further/split,Chinese,最接近草的颜色
0,further/split,Chinese,外线颜色
0,closer/close,Chinese,最浅的草的颜色
0,equal/far,Chinese,最接近太阳的颜色
0,further/split,Chinese,最接近草的颜色
0,closer/close,Chinese,粱美梦的颜色？
0,equal/far,Chinese,草的颜色
1,closer/close,Chinese,接近草的颜色，可是没那么绿
0,further/split,Chinese,亮的外线
0,further/split,Chinese,外线颜色
0,closer/close,Chinese,这里面最亮最深的颜色
0,equal/far,Chinese,天的颜色
0,further/split,Chinese,亮的草的颜色
0,closer/close,Chinese,土的颜色
0,closer/close,Chinese,最接近天的颜色
1,equal/far,Chinese,没那么亮的天的颜色
0,equal/far,Chinese,草的颜色
0,closer/close,Chinese,这里面颜色最中间
1,further/split,Chinese,不是天也不是图的颜色
0,further/split,Chinese,土
0,equal/far,Chinese,草的颜色
0,closer/close,Chinese,这里面颜色最深
0,equal/far,Chinese,草的颜色
0,equal/far,Chinese,浅的天空颜色
0,closer/close,Chinese,土的颜色
0,equal/far,Chinese,最接近太阳颜色
0,further/split,Chinese,最接近土的颜色
0,closer/close,Chinese,这里面最深的颜色
0,equal/far,Chinese,土的颜色
0,further/split,Chinese,亮的草的颜色
0,closer/close,Chinese,这里面亮度在中间
0,closer/close,Chinese,最接近天空的颜色
0,further/split,Chinese,最接近户的颜色
0,further/split,Chinese,湖
0,closer/close,Chinese,这里面颜色最浅
0,further/split,Chinese,深的草的颜色
0,equal/far,Chinese,土的颜色
0,closer/close,Chinese,这里面最亮的颜色
0,closer/close,Chinese,請描述？
0,closer/close,Chinese,开始了吗
0,closer/close,Chinese,开始了
0,closer/close,Chinese,这个颜色是天空的颜色
0,further/split,Chinese,这是皮肤颜色
0,closer/close,Chinese,这是有点红色的颜色
0,closer/close,Chinese,是深红吗
0,closer/close,Chinese,还是粉红？
0,closer/close,Chinese,深红
0,closer/close,Chinese,有点灰的浅绿色
0,equal/far,Chinese,紫色
0,further/split,Chinese,绿色
0,equal/far,Chinese,灰绿色
0,closer/close,Chinese,紫色
0,further/split,Chinese,灰色
0,further/split,Chinese,这是比较深色的那个绿色
0,further/split,Chinese,灰色
0,further/split,Chinese,算是灰色吧
0,equal/far,Chinese,神皇色
0,equal/far,Chinese,深黄色
0,closer/close,Chinese,绿色
0,further/split,Chinese,这个比较难
0,further/split,Chinese,比较浅色的紫色
0,further/split,Chinese,比较艳的绿色
0,equal/far,Chinese,浅粉红灰色
0,equal/far,Chinese,肉色
0,further/split,Chinese,艳的紫色
0,closer/close,Chinese,这里有三个绿色
0,closer/close,Chinese,一个艳绿色 和一个比较灰的绿色
0,closer/close,Chinese,是剩下的那个色
0,closer/close,Chinese,艳绿色
0,equal/far,Chinese,绿色
0,further/split,Chinese,紫色
0,closer/close,Chinese,比较蓝色的那个色
0,closer/close,Chinese,艳蓝色
0,closer/close,Chinese,艳紫色
0,equal/far,Chinese,黄色
0,further/split,Chinese,艳绿色
0,further/split,Chinese,有点粉红色的灰色
0,further/split,Chinese,浅橘色
0,closer/close,Chinese,艳绿色
0,further/split,Chinese,艳蓝色
0,further/split,Chinese,有点灰的绿色
0,equal/far,Chinese,灰色
0,further/split,Chinese,绿色
0,closer/close,Chinese,有点黄色的绿色
0,equal/far,Chinese,灰色
0,closer/close,Chinese,蓝色
0,equal/far,Chinese,蓝色
0,equal/far,Chinese,艳紫红色
0,further/split,Chinese,蓝色
0,equal/far,Chinese,黄色
0,closer/close,Chinese,比较有粉色的灰色
0,equal/far,Chinese,灰色
0,closer/close,Chinese,灰色
0,closer/close,Chinese,紫色
0,equal/far,Chinese,灰色
0,equal/far,Chinese,黄色
0,closer/close,Chinese,纯灰色
0,equal/far,Chinese,绿色
0,equal/far,Chinese,这是一个暖色调
0,equal/far,Chinese,这是一个接近天空的颜色
0,equal/far,Chinese,这是一个大多数女生都喜欢的可爱的颜色
0,equal/far,Chinese,这是一个接近秋冬枯草的颜色
0,equal/far,Chinese,军装的颜色
0,equal/far,Chinese,这是一个比天空蓝更深的颜色
0,closer/close,Chinese,这个颜色在你所看到的三个颜色里最亮
0,closer/close,Chinese,你会看到两种特别接近的大地色， 相比之下深一些的颜色是你应该选的
0,closer/close,Chinese,两种颜色相近的大地色， 选择有一些微黄的颜色
0,closer/close,Chinese,甚至泛着微绿
0,further/split,Chinese,这是一个红绿灯交通色，很亮
0,further/split,Chinese,最接近大地的土色
0,closer/close,Chinese,特别接近塑料绿的绿色
0,closer/close,Chinese,深又显亮
0,further/split,Chinese,一个比较正，标准的紫色， 
0,further/split,Chinese,深蓝色
0,closer/close,Chinese,橘色 比较秋季暖的感觉
0,equal/far,Chinese,灰蓝色
0,equal/far,Chinese,绿色
0,further/split,Chinese,比较鲜艳的绿色
0,further/split,Chinese,深绿色
0,further/split,Chinese,鲜艳
0,further/split,Chinese,灰色调的紫色
0,equal/far,Chinese,深粉色
0,further/split,Chinese,灰色
0,equal/far,Chinese,灰色调
1,closer/close,Chinese,深绿色， 不是亮绿！
0,further/split,Chinese,带点橘红色的橘色 
0,further/split,Chinese,两个橘色里深一些的那个
0,further/split,Chinese,泛红色的深橘色
0,closer/close,Chinese,灰色调的深蓝色
0,further/split,Chinese,亮橘色
0,further/split,Chinese,浅色橘
0,further/split,Chinese,亮！
0,further/split,Chinese,橙汁儿
0,closer/close,Chinese,粉色 浅色
0,closer/close,Chinese,最接近粉色的那个
0,closer/close,Chinese,你能更具体吗
0,further/split,Chinese,灰色调 绿色
0,further/split,Chinese,最土色
0,further/split,Chinese,最暗沉的
0,further/split,Chinese,棕色土色
0,further/split,Chinese,我的天 我的中文只有初中水平
1,further/split,Chinese,不是绿色， 也不是军绿色
0,further/split,Chinese,剩下的那个土色 棕色，就是了
0,further/split,Chinese,妖艳的紫粉色
0,further/split,Chinese,两个绿色，你要选的是那个有提亮的绿色
1,further/split,Chinese,不是灰暗的绿色
0,further/split,Chinese,像那个紫色一样亮的绿蓝色
0,closer/close,Chinese,灰土色 
1,closer/close,Chinese,不是任何一个接近绿色的颜色
0,closer/close,Chinese,土色，泛黄 泛绿
1,closer/close,Chinese,不是橘色 也不是那个带橘红的土色
0,closer/close,Chinese,冷色调一些
0,further/split,Chinese,绿色， 深绿
0,equal/far,Chinese,红色
0,equal/far,Chinese,土橘黄色
0,equal/far,Chinese,紫色
0,equal/far,Chinese,红色
0,further/split,Chinese,土色， 
0,further/split,Chinese,蓝色
0,further/split,Chinese,深蓝
0,closer/close,Chinese,粉色
0,equal/far,Chinese,粉色
0,equal/far,Chinese,粉红
0,closer/close,Chinese,土绿色
0,closer/close,Chinese,深紫色
0,closer/close,Chinese,深
0,closer/close,Chinese,紫色
0,closer/close,Chinese,任意一个土色
0,closer/close,Chinese,任意?
1,closer/close,Chinese,怎么描述这个都对不了
0,closer/close,Chinese,深一些
0,closer/close,Chinese,的
0,equal/far,Chinese,粉红
0,closer/close,Chinese,艳红
0,closer/close,Chinese,超级亮 红色
1,closer/close,Chinese,暗绿色 但不是最灰色的那个
0,equal/far,Chinese,灰色
1,further/split,Chinese,绿色但不太绿
0,further/split,Chinese,红色与浅紫色
0,further/split,Chinese,浅紫色
0,closer/close,Chinese,浅紫色
0,closer/close,Chinese,黑暗
0,equal/far,Chinese,绿色
0,equal/far,Chinese,灰绿色
0,closer/close,Chinese,紫色
0,closer/close,Chinese,明亮的紫色
0,closer/close,Chinese,橙子
0,further/split,Chinese,森林绿色
0,closer/close,Chinese,灰色
0,equal/far,Chinese,玫瑰紫色
0,further/split,Chinese,紫色
0,further/split,Chinese,黑暗
0,closer/close,Chinese,绿色
0,closer/close,Chinese,黑
0,closer/close,Chinese,森林绿色
0,equal/far,Chinese,紫色
0,closer/close,Chinese,灰色
0,equal/far,Chinese,棕色
0,closer/close,Chinese,浅绿色
0,closer/close,Chinese,透亮
0,further/split,Chinese,透亮绿色
0,equal/far,Chinese,橙子
0,closer/close,Chinese,绿
0,closer/close,Chinese,品绿
0,closer/close,Chinese,是
0,equal/far,Chinese,蓝色
0,further/split,Chinese,紫色
0,further/split,Chinese,蓝色
0,further/split,Chinese,蓝色
0,further/split,Chinese,紫色
0,further/split,Chinese,暗
0,equal/far,Chinese,红
0,closer/close,Chinese,绿色
0,closer/close,Chinese,亮
0,closer/close,Chinese,深绿色
0,equal/far,Chinese,紫色
0,closer/close,Chinese,蓝绿
0,closer/close,Chinese,深紫色
0,further/split,Chinese,深灰色
0,further/split,Chinese,亮蓝色
0,further/split,Chinese,深灰色
0,further/split,Chinese,深灰色
0,equal/far,Chinese,黄色
0,closer/close,Chinese,绿色
0,closer/close,Chinese,绿色
0,closer/close,Chinese,蓝
0,closer/close,Chinese,亮
0,equal/far,Chinese,灰色
0,closer/close,Chinese,灰
0,closer/close,Chinese,棕色
0,closer/close,Chinese,绿色
0,equal/far,Chinese,棕色
0,further/split,Chinese,叶子脱落的颜色
0,equal/far,Chinese,灰色
0,equal/far,Chinese,橙子
0,equal/far,Chinese,暗
0,equal/far,Chinese,灰色
1,further/split,Chinese,不是紫色和蓝色
0,equal/far,Chinese,黄绿色
0,equal/far,Chinese,蓝色
0,further/split,Chinese,爱
0,equal/far,Chinese,玫瑰
0,closer/close,Chinese,爱
0,equal/far,Chinese,明亮
0,equal/far,Chinese,草
0,equal/far,Chinese, 明亮
0,further/split,Chinese,亮
0,closer/close,Chinese,亮
0,further/split,Chinese,叶子
0,closer/close,Chinese,天空蓝
0,further/split,Chinese,蓝色
0,closer/close,Chinese,紫
0,closer/close,Chinese,天空蓝
0,equal/far,Chinese,黄色
0,further/split,Chinese,亮绿
0,equal/far,Chinese,深绿
0,closer/close,Chinese,深绿
0,further/split,Chinese,蓝
0,further/split,Chinese,灰
0,further/split,Chinese,紫
0,further/split,Chinese,亮蓝
0,closer/close,Chinese,土绿
0,closer/close,Chinese,深紫
0,equal/far,Chinese,蓝
0,further/split,Chinese,亮绿
0,equal/far,Chinese,灰色
0,further/split,Chinese,亮蓝
0,equal/far,Chinese,蓝
0,equal/far,Chinese,亮蓝
0,equal/far,Chinese,蓝
0,closer/close,Chinese,亮灰
0,closer/close,Chinese,蓝绿
0,equal/far,Chinese,蓝
0,closer/close,Chinese,次亮绿
0,equal/far,Chinese,红
0,further/split,Chinese,紫
0,further/split,Chinese,深蓝
0,equal/far,Chinese,蓝
0,further/split,Chinese,介于土色和绿色
0,further/split,Chinese,土色偏黄
0,further/split,Chinese,蓝
0,closer/close,Chinese,紫
0,equal/far,Chinese,粉红
0,closer/close,Chinese,蓝绿
0,equal/far,Chinese,蓝
0,further/split,Chinese,土紫
0,closer/close,Chinese,蓝绿色偏黄
0,equal/far,Chinese,绿
0,further/split,Chinese,亮绿
0,closer/close,Chinese,暗绿偏黄
0,equal/far,Chinese,绿
0,equal/far,Chinese,红
0,equal/far,Chinese,紫
0,closer/close,Chinese,灰蓝
0,further/split,Chinese,荧光蓝
0,closer/close,Chinese,深蓝
0,closer/close,Chinese,亮绿
0,closer/close,Chinese,灰
0,equal/far,Chinese,太阳
0,closer/close,Chinese,光
0,closer/close,Chinese,黑暗
0,closer/close,Chinese,砂
0,further/split,Chinese,黑暗
0,equal/far,Chinese,光
0,equal/far,Chinese,草
0,further/split,Chinese,亮
0,equal/far,Chinese,天空
0,equal/far,Chinese,树叶
0,further/split,Chinese,亮
0,closer/close,Chinese,少女的
0,equal/far,Chinese,你好
0,equal/far,Chinese,你好
1,equal/far,Chinese,不是蓝色和绿色
0,equal/far,Chinese,还在吗
0,equal/far,Chinese,在
0,equal/far,Chinese,选紫色
0,further/split,Chinese,选棕色
0,closer/close,Chinese,错了
0,closer/close,Chinese,请描述颜色
