superlative,Condition,Language,Message
False,further/split,Chinese,大红
False,further/split,Chinese,灰色
False,equal/far,Chinese,不是红色也不是蓝色
False,further/split,Chinese,墨绿色
False,equal/far,Chinese,灰色
False,closer/close,Chinese,猪肝
False,equal/far,Chinese,浅绿色
False,closer/close,Chinese,蓝绿色
False,closer/close,Chinese,蓝较多吗？
False,closer/close,Chinese,较少
False,further/split,Chinese,紫色
False,closer/close,Chinese,蓝色
False,equal/far,Chinese,黄色
False,equal/far,Chinese,绿色
True,closer/close,Chinese,黄色最少
False,further/split,Chinese,蓝色
False,equal/far,Chinese,红色
False,equal/far,Chinese,红色
False,further/split,Chinese,红色
False,closer/close,Chinese,黄
False,closer/close,Chinese,浅绿色
False,further/split,Chinese,蓝色
False,closer/close,Chinese,粉红
False,closer/close,Chinese,深一点的蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,灰绿色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,绿色
False,closer/close,Chinese,灰黄色
False,equal/far,Chinese,紫色
False,closer/close,Chinese,暗粉色
False,closer/close,Chinese,亮
False,closer/close,Chinese,红色
False,further/split,Chinese,金黄色
False,closer/close,Chinese,暗粉色
False,closer/close,Chinese,暗粉红色吗
False,closer/close,Chinese,是
False,further/split,Chinese,黄色
False,further/split,Chinese,紫色
False,equal/far,Chinese,绿色
False,equal/far,Chinese,天蓝色
False,further/split,Chinese,浅绿色
False,further/split,Chinese,蓝紫色
False,closer/close,Chinese,绿色
False,equal/far,Chinese,绿色
False,closer/close,Chinese,黄灰色
False,equal/far,Chinese,紫色
False,further/split,Chinese,灰色
False,equal/far,Chinese,灰色
False,further/split,Chinese,土黄色
False,further/split,Chinese,重点是土吗？
False,further/split,Chinese,泥黄色
True,closer/close,Chinese,最亮的绿色
False,further/split,Chinese,红色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,绿色
False,equal/far,Chinese,土黃色
False,further/split,Chinese,绿色
False,further/split,Chinese,天蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,金秋色
False,further/split,Chinese,秋天落叶吗？
False,further/split,Chinese,紫色
False,closer/close,Chinese,亮粉色
False,closer/close,Chinese,蓝色
False,equal/far,Chinese,绿色
False,closer/close,Chinese,粉蓝色
False,closer/close,Chinese,灰蓝色
False,closer/close,Chinese,黄绿色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,灰黄色
False,closer/close,Chinese,亮绿色
False,further/split,Chinese,黄色
False,further/split,Chinese,灰色
False,closer/close,Chinese,深蓝色
False,closer/close,Chinese,黃色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,灰色
False,further/split,Chinese,你好
False,further/split,Chinese,！
False,further/split,Chinese,你好！
False,further/split,Chinese,要选哪一个？
False,further/split,Chinese,淡粉色
False,further/split,Chinese,:D
False,further/split,Chinese,深棕色
False,equal/far,Chinese,浅绿色
False,further/split,Chinese,深灰色
False,closer/close,Chinese,蓝绿色
False,closer/close,Chinese,。。。。
False,closer/close,Chinese,哈
False,closer/close,Chinese,紫色
False,equal/far,Chinese,亮绿色
False,equal/far,Chinese,？
False,equal/far,Chinese,深绿色
False,equal/far,Chinese,。。。
False,equal/far,Chinese,看起来是蓝色吧
False,closer/close,Chinese,紫色
False,closer/close,Chinese,深的？
False,closer/close,Chinese,中间的
False,closer/close,Chinese,不是粉色
False,equal/far,Chinese,黄
False,equal/far,Chinese,lol
False,equal/far,Chinese,绿
False,equal/far,Chinese,粉
False,further/split,Chinese,深蓝
False,further/split,Chinese,亮蓝
False,closer/close,Chinese,哎呀
False,closer/close,Chinese,。。
False,closer/close,Chinese,深蓝
False,closer/close,Chinese,草绿
False,equal/far,Chinese,粉色
False,closer/close,Chinese,黄绿色
False,further/split,Chinese,粉色
False,equal/far,Chinese,亮蓝
False,further/split,Chinese,深灰色
False,equal/far,Chinese,深紫色
False,closer/close,Chinese,蓝色
False,equal/far,Chinese,墨绿
False,closer/close,Chinese,灰色
False,further/split,Chinese,红
False,equal/far,Chinese,接近皮肤颜色
False,further/split,Chinese,青草
False,closer/close,Chinese,浪漫的颜色
False,equal/far,Chinese,秋天的草色
False,further/split,Chinese,草色
False,further/split,Chinese,深色
False,closer/close,Chinese,浪漫的颜色
False,closer/close,Chinese,深色
False,further/split,Chinese,深色的夕阳
False,closer/close,Chinese,发芽的草色
False,equal/far,Chinese,血色
False,further/split,Chinese,深色
False,further/split,Chinese,快速键入
False,further/split,Chinese,深色
False,equal/far,Chinese,大海
False,further/split,Chinese,公主色
False,closer/close,Chinese,烂漫
False,equal/far,Chinese,青草
False,closer/close,Chinese,同上
False,further/split,Chinese,浪漫
False,further/split,Chinese,亮色
False,further/split,Chinese,深色
False,equal/far,Chinese,深色
False,further/split,Chinese,亮色
False,closer/close,Chinese,血色
False,equal/far,Chinese,深色
False,closer/close,Chinese,?
False,closer/close,Chinese,深色
False,further/split,Chinese,深色
False,closer/close,Chinese,烂漫
False,closer/close,Chinese,淡色
False,equal/far,Chinese,青草
False,equal/far,Chinese,中色
False,equal/far,Chinese,难看的颜色
False,equal/far,Chinese,浪漫
False,equal/far,Chinese,难看
False,further/split,Chinese,中色
False,closer/close,Chinese,中色
False,closer/close,Chinese,难看色
False,equal/far,Chinese,青草
False,equal/far,Chinese,?
False,equal/far,Chinese,深色
False,further/split,Chinese,烂漫
False,equal/far,Chinese,难看
False,equal/far,Chinese,浪漫
False,closer/close,Chinese,天的色
False,closer/close,Chinese,嫩草
False,further/split,Chinese,天的色
False,further/split,Chinese,深色
False,closer/close,Chinese,深色
False,closer/close,Chinese,深色
False,further/split,Chinese,深色
False,equal/far,Chinese,难看
False,equal/far,Chinese,慢行交通灯的颜色
True,equal/far,Chinese,荷兰足球队最常穿的颜色
False,further/split,Chinese,美国国旗上的一种颜色
True,closer/close,Chinese,颜色最亮的一个
False,closer/close,Chinese,不是紫色不是浅灰
False,equal/far,Chinese,不是深蓝不是浅蓝
False,equal/far,Chinese,灰色
True,closer/close,Chinese,最亮的绿色
False,further/split,Chinese,紫色
False,equal/far,Chinese,蓝色
False,equal/far,Chinese,蓝灰色吗？
False,equal/far,Chinese,天蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,深绿色
False,further/split,Chinese,草的颜色？
False,further/split,Chinese,是的
False,equal/far,Chinese,紫色
False,equal/far,Chinese,是粉色吗？
False,equal/far,Chinese,是的
False,further/split,Chinese,土黄色
False,equal/far,Chinese,不是蓝色不是粉色
False,equal/far,Chinese,蓝色
False,equal/far,Chinese,灰色
False,closer/close,Chinese,灰色。
True,closer/close,Chinese,最亮的绿色
False,closer/close,Chinese,紫色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,紫色
True,closer/close,Chinese,不是最亮的绿色。第二亮的绿色
False,further/split,Chinese,颜色较深的绿色
False,further/split,Chinese,偏黄色？
False,further/split,Chinese,偏绿。不偏黄
False,further/split,Chinese,偏紫色
False,further/split,Chinese,蓝色？
False,further/split,Chinese,不是蓝色
False,further/split,Chinese,黄色？
False,further/split,Chinese,不是
False,further/split,Chinese,蓝色
False,further/split,Chinese,偏灰
False,further/split,Chinese,偏绿色？
False,further/split,Chinese,不偏绿
False,further/split,Chinese,比较暗的蓝色
False,closer/close,Chinese,亮度居中的绿色
False,further/split,Chinese,绿色
False,closer/close,Chinese,亮度居中的蓝色
False,closer/close,Chinese,偏灰色？
False,closer/close,Chinese,不是
True,further/split,Chinese,最亮的绿色
False,closer/close,Chinese,偏暗的蓝色， 不是紫色
False,closer/close,Chinese,深蓝色？
False,closer/close,Chinese,不是
False,closer/close,Chinese,浅蓝
False,closer/close,Chinese,深绿， 不偏黄
True,closer/close,Chinese,最亮的紫色
False,equal/far,Chinese,蓝色
False,further/split,Chinese,不是红色，不是亮绿色
False,further/split,Chinese,草绿色，偏亮
False,further/split,Chinese,绿色偏黄
False,further/split,Chinese,黄色？
False,further/split,Chinese,是的
False,closer/close,Chinese,浅蓝色
False,further/split,Chinese,灰色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,绿色
False,equal/far,Chinese,草绿色？
False,equal/far,Chinese,是的
True,closer/close,Chinese,最亮的粉红
False,further/split,Chinese,粉红色，偏亮
False,equal/far,Chinese,绿色
False,equal/far,Chinese,灰色，不是蓝色，不是紫色
False,closer/close,Chinese,绿色偏淡蓝色
False,closer/close,Chinese,偏黄色？
False,closer/close,Chinese,不偏黄
False,further/split,Chinese,深绿色
False,closer/close,Chinese,绿色偏亮
False,further/split,Chinese,青草的颜色但较浅
False,closer/close,Chinese,我这边有三个都比较深的颜色
False,closer/close,Chinese,黑色？
False,closer/close,Chinese,要下雨时通常天空会？
False,closer/close,Chinese,深灰色?
False,closer/close,Chinese,再淡点？
False,further/split,Chinese,青草的颜色
False,further/split,Chinese,我这边有两个绿色，是不是更亮一点的那个?
False,further/split,Chinese,对
True,equal/far,Chinese,最亮的
False,closer/close,Chinese,较不同的
True,further/split,Chinese,最亮的
False,further/split,Chinese,比较接近女生的颜色
False,further/split,Chinese,绿色？
False,further/split,Chinese,不是
False,further/split,Chinese,另外两个都很像灰色
False,further/split,Chinese,是棕灰色？
False,further/split,Chinese,比较粉的
False,equal/far,Chinese,粉红和？
False,equal/far,Chinese,紫色
False,further/split,Chinese,不亮的
False,equal/far,Chinese,粉紫
False,equal/far,Chinese,黄
False,equal/far,Chinese,粉色
False,closer/close,Chinese,比较接近大地的
False,further/split,Chinese,不是亮的粉
False,closer/close,Chinese,偏蓝的绿
False,equal/far,Chinese,深蓝
False,equal/far,Chinese,大地
False,further/split,Chinese,亮粉
False,closer/close,Chinese,比较深的紫
False,closer/close,Chinese,不是偏粉的紫 不亮
False,further/split,Chinese,亮粉
False,closer/close,Chinese,灰色
False,closer/close,Chinese,不偏蓝
True,closer/close,Chinese,最沉的绿
False,further/split,Chinese,不偏粉的紫
False,closer/close,Chinese,绿色 不太棕
False,closer/close,Chinese,比较灰
False,equal/far,Chinese,灰色
False,equal/far,Chinese,亮粉
False,equal/far,Chinese,黄色
False,equal/far,Chinese,大地
False,further/split,Chinese,灰色
True,further/split,Chinese,最亮的
True,equal/far,Chinese,最亮的绿
False,further/split,Chinese,粉色
False,equal/far,Chinese,蓝色
False,closer/close,Chinese,三个中 排行第二亮的
False,equal/far,Chinese,绿色
False,further/split,Chinese,橙色 很橙的
False,equal/far,Chinese,紫色
False,closer/close,Chinese,浅粉色
False,further/split,Chinese,比较暗淡的绿
False,closer/close,Chinese,偏紫色 
False,closer/close,Chinese,偏粉红色
True,closer/close,Chinese,最普通彩盘中的亮青
False,further/split,Chinese,蓝色
True,closer/close,Chinese,不是最亮的 剩下两个中偏淡的
False,closer/close,Chinese,绿色
False,equal/far,Chinese,偏绿
True,closer/close,Chinese,不是最亮的 剩下两个中不偏淡的
False,further/split,Chinese,绿色
False,further/split,Chinese,亮蓝色
False,equal/far,Chinese,请问第一轮目标颜色是什么？
False,closer/close,Chinese,你好
False,closer/close,Chinese,你好
False,closer/close,Chinese,浅绿色
False,equal/far,Chinese,绿色
False,equal/far,Chinese,茄子
False,closer/close,Chinese,草
False,equal/far,Chinese,草的颜色
False,closer/close,Chinese,色泽鲜艳
False,further/split,Chinese,忍者龟
False,equal/far,Chinese,轻茄子
False,closer/close,Chinese,绿色但不太绿
False,further/split,Chinese,绿色但不太绿
False,further/split,Chinese,非常明亮，引起注意
False,closer/close,Chinese,明亮的紫色
False,closer/close,Chinese,老绿
False,equal/far,Chinese,灰蓝色
False,further/split,Chinese,浅绿色
False,further/split,Chinese,浅橙色
False,closer/close,Chinese,绿色
False,equal/far,Chinese,浅绿色灰色
False,equal/far,Chinese,紫色
False,further/split,Chinese,浅灰色
False,closer/close,Chinese,浅紫色
False,closer/close,Chinese,蓝色
False,further/split,Chinese,你好
False,further/split,Chinese,你好
False,further/split,Chinese,准备好了吗？
False,further/split,Chinese,好了
False,further/split,Chinese,草的颜色
False,equal/far,Chinese,这颜色不接近天，也不接近草
False,further/split,Chinese,接近草的颜色，但比较深
False,closer/close,Chinese,这有点难
False,closer/close,Chinese,颜色不接近草
False,closer/close,Chinese,颜色不接近天空
False,equal/far,Chinese,草的颜色
False,further/split,Chinese,我们通常叫什么外线?
False,further/split,Chinese,外线的颜色
False,closer/close,Chinese,比较深的外线颜色
False,further/split,Chinese,外线颜色
False,further/split,Chinese,比较光的外线颜色
False,further/split,Chinese,亮一点的草的颜色
False,equal/far,Chinese,不是草也不是太阳的颜色
False,equal/far,Chinese,不是天空也不是外线的颜色
False,equal/far,Chinese,太阳的颜色
True,further/split,Chinese,最接近草的颜色
False,further/split,Chinese,外线颜色
True,closer/close,Chinese,最浅的草的颜色
True,equal/far,Chinese,最接近太阳的颜色
True,further/split,Chinese,最接近草的颜色
False,closer/close,Chinese,粱美梦的颜色？
False,equal/far,Chinese,草的颜色
False,closer/close,Chinese,接近草的颜色，可是没那么绿
False,further/split,Chinese,亮的外线
False,further/split,Chinese,外线颜色
True,closer/close,Chinese,这里面最亮最深的颜色
False,equal/far,Chinese,天的颜色
False,further/split,Chinese,亮的草的颜色
False,closer/close,Chinese,土的颜色
True,closer/close,Chinese,最接近天的颜色
False,equal/far,Chinese,没那么亮的天的颜色
False,equal/far,Chinese,草的颜色
True,closer/close,Chinese,这里面颜色最中间
False,further/split,Chinese,不是天也不是图的颜色
False,further/split,Chinese,土
False,equal/far,Chinese,草的颜色
True,closer/close,Chinese,这里面颜色最深
False,equal/far,Chinese,草的颜色
False,equal/far,Chinese,浅的天空颜色
False,closer/close,Chinese,土的颜色
True,equal/far,Chinese,最接近太阳颜色
True,further/split,Chinese,最接近土的颜色
True,closer/close,Chinese,这里面最深的颜色
False,equal/far,Chinese,土的颜色
False,further/split,Chinese,亮的草的颜色
False,closer/close,Chinese,这里面亮度在中间
True,closer/close,Chinese,最接近天空的颜色
True,further/split,Chinese,最接近户的颜色
False,further/split,Chinese,湖
True,closer/close,Chinese,这里面颜色最浅
False,further/split,Chinese,深的草的颜色
False,equal/far,Chinese,土的颜色
True,closer/close,Chinese,这里面最亮的颜色
False,closer/close,Chinese,請描述？
False,closer/close,Chinese,开始了吗
False,closer/close,Chinese,开始了
False,closer/close,Chinese,这个颜色是天空的颜色
False,further/split,Chinese,这是皮肤颜色
False,closer/close,Chinese,这是有点红色的颜色
False,closer/close,Chinese,是深红吗
False,closer/close,Chinese,还是粉红？
False,closer/close,Chinese,深红
False,closer/close,Chinese,有点灰的浅绿色
False,equal/far,Chinese,紫色
False,further/split,Chinese,绿色
False,equal/far,Chinese,灰绿色
False,closer/close,Chinese,紫色
False,further/split,Chinese,灰色
False,further/split,Chinese,这是比较深色的那个绿色
False,further/split,Chinese,灰色
False,further/split,Chinese,算是灰色吧
False,equal/far,Chinese,神皇色
False,equal/far,Chinese,深黄色
False,closer/close,Chinese,绿色
False,further/split,Chinese,这个比较难
False,further/split,Chinese,比较浅色的紫色
False,further/split,Chinese,比较艳的绿色
False,equal/far,Chinese,浅粉红灰色
False,equal/far,Chinese,肉色
False,further/split,Chinese,艳的紫色
False,closer/close,Chinese,这里有三个绿色
False,closer/close,Chinese,一个艳绿色 和一个比较灰的绿色
False,closer/close,Chinese,是剩下的那个色
False,closer/close,Chinese,艳绿色
False,equal/far,Chinese,绿色
False,further/split,Chinese,紫色
False,closer/close,Chinese,比较蓝色的那个色
False,closer/close,Chinese,艳蓝色
False,closer/close,Chinese,艳紫色
False,equal/far,Chinese,黄色
False,further/split,Chinese,艳绿色
False,further/split,Chinese,有点粉红色的灰色
False,further/split,Chinese,浅橘色
False,closer/close,Chinese,艳绿色
False,further/split,Chinese,艳蓝色
False,further/split,Chinese,有点灰的绿色
False,equal/far,Chinese,灰色
False,further/split,Chinese,绿色
False,closer/close,Chinese,有点黄色的绿色
False,equal/far,Chinese,灰色
False,closer/close,Chinese,蓝色
False,equal/far,Chinese,蓝色
False,equal/far,Chinese,艳紫红色
False,further/split,Chinese,蓝色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,比较有粉色的灰色
False,equal/far,Chinese,灰色
False,closer/close,Chinese,灰色
False,closer/close,Chinese,紫色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,纯灰色
False,equal/far,Chinese,绿色
False,equal/far,Chinese,这是一个暖色调
False,equal/far,Chinese,这是一个接近天空的颜色
False,equal/far,Chinese,这是一个大多数女生都喜欢的可爱的颜色
False,equal/far,Chinese,这是一个接近秋冬枯草的颜色
False,equal/far,Chinese,军装的颜色
False,equal/far,Chinese,这是一个比天空蓝更深的颜色
True,closer/close,Chinese,这个颜色在你所看到的三个颜色里最亮
False,closer/close,Chinese,你会看到两种特别接近的大地色， 相比之下深一些的颜色是你应该选的
False,closer/close,Chinese,两种颜色相近的大地色， 选择有一些微黄的颜色
False,closer/close,Chinese,甚至泛着微绿
False,further/split,Chinese,这是一个红绿灯交通色，很亮
True,further/split,Chinese,最接近大地的土色
False,closer/close,Chinese,特别接近塑料绿的绿色
False,closer/close,Chinese,深又显亮
False,further/split,Chinese,一个比较正，标准的紫色， 
False,further/split,Chinese,深蓝色
False,closer/close,Chinese,橘色 比较秋季暖的感觉
False,equal/far,Chinese,灰蓝色
False,equal/far,Chinese,绿色
False,further/split,Chinese,比较鲜艳的绿色
False,further/split,Chinese,深绿色
False,further/split,Chinese,鲜艳
False,further/split,Chinese,灰色调的紫色
False,equal/far,Chinese,深粉色
False,further/split,Chinese,灰色
False,equal/far,Chinese,灰色调
False,closer/close,Chinese,深绿色， 不是亮绿！
False,further/split,Chinese,带点橘红色的橘色 
False,further/split,Chinese,两个橘色里深一些的那个
False,further/split,Chinese,泛红色的深橘色
False,closer/close,Chinese,灰色调的深蓝色
False,further/split,Chinese,亮橘色
False,further/split,Chinese,浅色橘
False,further/split,Chinese,亮！
False,further/split,Chinese,橙汁儿
False,closer/close,Chinese,粉色 浅色
True,closer/close,Chinese,最接近粉色的那个
False,closer/close,Chinese,你能更具体吗
False,further/split,Chinese,灰色调 绿色
True,further/split,Chinese,最土色
True,further/split,Chinese,最暗沉的
False,further/split,Chinese,棕色土色
False,further/split,Chinese,我的天 我的中文只有初中水平
False,further/split,Chinese,不是绿色， 也不是军绿色
False,further/split,Chinese,剩下的那个土色 棕色，就是了
False,further/split,Chinese,妖艳的紫粉色
False,further/split,Chinese,两个绿色，你要选的是那个有提亮的绿色
False,further/split,Chinese,不是灰暗的绿色
False,further/split,Chinese,像那个紫色一样亮的绿蓝色
False,closer/close,Chinese,灰土色 
False,closer/close,Chinese,不是任何一个接近绿色的颜色
False,closer/close,Chinese,土色，泛黄 泛绿
False,closer/close,Chinese,不是橘色 也不是那个带橘红的土色
False,closer/close,Chinese,冷色调一些
False,further/split,Chinese,绿色， 深绿
False,equal/far,Chinese,红色
False,equal/far,Chinese,土橘黄色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,红色
False,further/split,Chinese,土色， 
False,further/split,Chinese,蓝色
False,further/split,Chinese,深蓝
False,closer/close,Chinese,粉色
False,equal/far,Chinese,粉色
False,equal/far,Chinese,粉红
False,closer/close,Chinese,土绿色
False,closer/close,Chinese,深紫色
False,closer/close,Chinese,深
False,closer/close,Chinese,紫色
False,closer/close,Chinese,任意一个土色
False,closer/close,Chinese,任意?
False,closer/close,Chinese,怎么描述这个都对不了
False,closer/close,Chinese,深一些
False,closer/close,Chinese,的
False,equal/far,Chinese,粉红
False,closer/close,Chinese,艳红
False,closer/close,Chinese,超级亮 红色
True,closer/close,Chinese,暗绿色 但不是最灰色的那个
False,equal/far,Chinese,灰色
False,further/split,Chinese,绿色但不太绿
False,further/split,Chinese,红色与浅紫色
False,further/split,Chinese,浅紫色
False,closer/close,Chinese,浅紫色
False,closer/close,Chinese,黑暗
False,equal/far,Chinese,绿色
False,equal/far,Chinese,灰绿色
False,closer/close,Chinese,紫色
False,closer/close,Chinese,明亮的紫色
False,closer/close,Chinese,橙子
False,further/split,Chinese,森林绿色
False,closer/close,Chinese,灰色
False,equal/far,Chinese,玫瑰紫色
False,further/split,Chinese,紫色
False,further/split,Chinese,黑暗
False,closer/close,Chinese,绿色
False,closer/close,Chinese,黑
False,closer/close,Chinese,森林绿色
False,equal/far,Chinese,紫色
False,closer/close,Chinese,灰色
False,equal/far,Chinese,棕色
False,closer/close,Chinese,浅绿色
False,closer/close,Chinese,透亮
False,further/split,Chinese,透亮绿色
False,equal/far,Chinese,橙子
False,closer/close,Chinese,绿
False,closer/close,Chinese,品绿
False,closer/close,Chinese,是
False,equal/far,Chinese,蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,蓝色
False,further/split,Chinese,蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,暗
False,equal/far,Chinese,红
False,closer/close,Chinese,绿色
False,closer/close,Chinese,亮
False,closer/close,Chinese,深绿色
False,equal/far,Chinese,紫色
False,closer/close,Chinese,蓝绿
False,closer/close,Chinese,深紫色
False,further/split,Chinese,深灰色
False,further/split,Chinese,亮蓝色
False,further/split,Chinese,深灰色
False,further/split,Chinese,深灰色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,绿色
False,closer/close,Chinese,绿色
False,closer/close,Chinese,蓝
False,closer/close,Chinese,亮
False,equal/far,Chinese,灰色
False,closer/close,Chinese,灰
False,closer/close,Chinese,棕色
False,closer/close,Chinese,绿色
False,equal/far,Chinese,棕色
False,further/split,Chinese,叶子脱落的颜色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,橙子
False,equal/far,Chinese,暗
False,equal/far,Chinese,灰色
False,further/split,Chinese,不是紫色和蓝色
False,equal/far,Chinese,黄绿色
False,equal/far,Chinese,蓝色
False,further/split,Chinese,爱
False,equal/far,Chinese,玫瑰
False,closer/close,Chinese,爱
False,equal/far,Chinese,明亮
False,equal/far,Chinese,草
False,equal/far,Chinese, 明亮
False,further/split,Chinese,亮
False,closer/close,Chinese,亮
False,further/split,Chinese,叶子
False,closer/close,Chinese,天空蓝
False,further/split,Chinese,蓝色
False,closer/close,Chinese,紫
False,closer/close,Chinese,天空蓝
False,equal/far,Chinese,黄色
False,further/split,Chinese,亮绿
False,equal/far,Chinese,深绿
False,closer/close,Chinese,深绿
False,further/split,Chinese,蓝
False,further/split,Chinese,灰
False,further/split,Chinese,紫
False,further/split,Chinese,亮蓝
False,closer/close,Chinese,土绿
False,closer/close,Chinese,深紫
False,equal/far,Chinese,蓝
False,further/split,Chinese,亮绿
False,equal/far,Chinese,灰色
False,further/split,Chinese,亮蓝
False,equal/far,Chinese,蓝
False,equal/far,Chinese,亮蓝
False,equal/far,Chinese,蓝
False,closer/close,Chinese,亮灰
False,closer/close,Chinese,蓝绿
False,equal/far,Chinese,蓝
False,closer/close,Chinese,次亮绿
False,equal/far,Chinese,红
False,further/split,Chinese,紫
False,further/split,Chinese,深蓝
False,equal/far,Chinese,蓝
False,further/split,Chinese,介于土色和绿色
False,further/split,Chinese,土色偏黄
False,further/split,Chinese,蓝
False,closer/close,Chinese,紫
False,equal/far,Chinese,粉红
False,closer/close,Chinese,蓝绿
False,equal/far,Chinese,蓝
False,further/split,Chinese,土紫
False,closer/close,Chinese,蓝绿色偏黄
False,equal/far,Chinese,绿
False,further/split,Chinese,亮绿
False,closer/close,Chinese,暗绿偏黄
False,equal/far,Chinese,绿
False,equal/far,Chinese,红
False,equal/far,Chinese,紫
False,closer/close,Chinese,灰蓝
False,further/split,Chinese,荧光蓝
False,closer/close,Chinese,深蓝
False,closer/close,Chinese,亮绿
False,closer/close,Chinese,灰
False,equal/far,Chinese,太阳
False,closer/close,Chinese,光
False,closer/close,Chinese,黑暗
False,closer/close,Chinese,砂
False,further/split,Chinese,黑暗
False,equal/far,Chinese,光
False,equal/far,Chinese,草
False,further/split,Chinese,亮
False,equal/far,Chinese,天空
False,equal/far,Chinese,树叶
False,further/split,Chinese,亮
False,closer/close,Chinese,少女的
False,equal/far,Chinese,你好
False,equal/far,Chinese,你好
False,equal/far,Chinese,不是蓝色和绿色
False,equal/far,Chinese,还在吗
False,equal/far,Chinese,在
False,equal/far,Chinese,选紫色
False,further/split,Chinese,选棕色
False,closer/close,Chinese,错了
False,closer/close,Chinese,请描述颜色
